company_name,ticker_or_code,date,year,month,month_end_price,monthly_stock_return,annual_revenue,annual_total_assets,annual_eps,bd_inflation_annual_pct,bd_gdp_growth_annual_pct
Grameenphone Ltd.,GP,2020-01-31,2020,1,257.8,,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2020-02-29,2020,2,274.4,0.06439100077579507,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2020-03-31,2020,3,238.8,-0.129737609329446,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2020-04-30,2020,4,,,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2020-05-31,2020,5,255.9,,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2020-06-30,2020,6,238.8,-0.06682297772567403,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2020-07-31,2020,7,258.5,0.0824958123953099,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2020-08-31,2020,8,318.4,0.23172147001934218,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2020-09-30,2020,9,330.0,0.03643216080402012,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2020-10-31,2020,10,329.7,-0.0009090909090909705,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2020-11-30,2020,11,319.1,-0.03215043979375176,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2020-12-31,2020,12,347.1,0.08774678784080225,139606,148184,27.54,5.69107474746211,3.44801755122445
Grameenphone Ltd.,GP,2021-01-31,2021,1,371.9,0.07144915010083541,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2021-02-28,2021,2,338.3,-0.0903468674374831,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2021-03-31,2021,3,328.5,-0.028968371268105253,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2021-04-30,2021,4,339.0,0.03196347031963476,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2021-05-31,2021,5,346.3,0.021533923303834746,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2021-06-30,2021,6,349.4,0.008951775916834936,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2021-07-31,2021,7,379.3,0.08557527189467673,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2021-08-31,2021,8,362.6,-0.044028473503822774,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2021-09-30,2021,9,380.2,0.048538334252619775,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2021-10-31,2021,10,358.5,-0.05707522356654393,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2021-11-30,2021,11,348.3,-0.028451882845188292,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2021-12-31,2021,12,349.5,0.003445305770887197,143066,163007,25.28,5.54565430773473,6.93867912442445
Grameenphone Ltd.,GP,2022-01-31,2022,1,355.9,0.018311874105865433,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2022-02-28,2022,2,340.0,-0.044675470637819514,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2022-03-31,2022,3,328.9,-0.03264705882352947,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2022-04-30,2022,4,319.9,-0.02736394040741863,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2022-05-31,2022,5,307.1,-0.04001250390747091,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2022-06-30,2022,6,294.1,-0.04233148811462062,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2022-07-31,2022,7,294.3,0.0006800408024481008,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2022-08-31,2022,8,287.8,-0.022086306489976226,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2022-09-30,2022,9,286.6,-0.004169562195969423,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2022-10-31,2022,10,286.6,0.0,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2022-11-30,2022,11,286.6,0.0,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2022-12-31,2022,12,286.6,0.0,150403,185087,22.29,7.69695437176898,7.09982877575158
Grameenphone Ltd.,GP,2023-01-31,2023,1,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2023-02-28,2023,2,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2023-03-31,2023,3,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2023-04-30,2023,4,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2023-05-31,2023,5,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2023-06-30,2023,6,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2023-07-31,2023,7,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2023-08-31,2023,8,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2023-09-30,2023,9,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2023-10-31,2023,10,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2023-11-30,2023,11,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2023-12-31,2023,12,286.6,0.0,158716,200420,24.49,9.8835030377921,5.77511237007889
Grameenphone Ltd.,GP,2024-01-31,2024,1,286.6,0.0,158447,198853,26.89,10.4657482763412,4.22325911250161
Grameenphone Ltd.,GP,2024-02-29,2024,2,286.6,0.0,158447,198853,26.89,10.4657482763412,4.22325911250161
Grameenphone Ltd.,GP,2024-03-31,2024,3,237.8,-0.17027215631542225,158447,198853,26.89,10.4657482763412,4.22325911250161
Grameenphone Ltd.,GP,2024-04-30,2024,4,235.8,-0.008410428931875491,158447,198853,26.89,10.4657482763412,4.22325911250161
Grameenphone Ltd.,GP,2024-05-31,2024,5,223.5,-0.05216284987277353,158447,198853,26.89,10.4657482763412,4.22325911250161
Grameenphone Ltd.,GP,2024-06-30,2024,6,247.7,0.10827740492170013,158447,198853,26.89,10.4657482763412,4.22325911250161
Grameenphone Ltd.,GP,2024-07-31,2024,7,252.5,0.01937828017763432,158447,198853,26.89,10.4657482763412,4.22325911250161
Grameenphone Ltd.,GP,2024-08-31,2024,8,344.0,0.3623762376237625,158447,198853,26.89,10.4657482763412,4.22325911250161
Grameenphone Ltd.,GP,2024-09-30,2024,9,350.2,0.018023255813953476,158447,198853,26.89,10.4657482763412,4.22325911250161
Grameenphone Ltd.,GP,2024-10-31,2024,10,314.2,-0.10279840091376358,158447,198853,26.89,10.4657482763412,4.22325911250161
Grameenphone Ltd.,GP,2024-11-30,2024,11,319.7,0.017504774029280634,158447,198853,26.89,10.4657482763412,4.22325911250161
Grameenphone Ltd.,GP,2024-12-31,2024,12,323.1,0.010634970284641998,158447,198853,26.89,10.4657482763412,4.22325911250161
